"","x"
"1",0
"2",1.11294398537281e-06
"3",1.15625756754592e-06
"4",1.41432766657754e-06
"5",1.51969647159876e-06
"6",1.54031685644221e-06
"7",1.86974146618765e-06
"8",2.25693549225879e-06
"9",3.05616371761282e-06
"10",3.08413888639259e-06
"11",3.16214084230043e-06
"12",3.34141684735017e-06
"13",3.37231529231746e-06
"14",3.41259425256736e-06
"15",3.51818729916794e-06
"16",3.54360133191319e-06
"17",3.58842307564229e-06
"18",3.60542146848478e-06
"19",3.66736225669237e-06
"20",3.69434539432367e-06
"21",3.70151620580026e-06
"22",3.79116061446569e-06
"23",3.92049947860921e-06
"24",3.92446698430614e-06
"25",3.9912291875625e-06
"26",4.00789059623283e-06
"27",4.10674453012225e-06
"28",4.12648658655882e-06
"29",4.14825642357449e-06
"30",4.28408701909386e-06
"31",4.2924050080367e-06
"32",4.36156351427483e-06
"33",4.44241899864627e-06
"34",4.49424920081435e-06
"35",4.5010337384331e-06
"36",4.5505215409162e-06
"37",4.62364199071419e-06
"38",4.69760816851931e-06
"39",4.76376352315434e-06
"40",4.95299007729123e-06
"41",4.98425321882185e-06
"42",5.0822701645866e-06
"43",5.18437672950065e-06
"44",5.26937902529409e-06
"45",5.29423109052717e-06
"46",5.32767265923731e-06
"47",5.4749745927893e-06
"48",5.53445205021448e-06
"49",5.66952468306203e-06
"50",5.69471670363956e-06
"51",5.74733619563093e-06
"52",5.80327308794108e-06
"53",5.83706627633102e-06
"54",5.89941432370133e-06
"55",5.90815469704275e-06
"56",5.93089115026339e-06
"57",6.05410457484611e-06
"58",6.14332186487428e-06
"59",6.20786064060808e-06
"60",6.30809474414999e-06
"61",6.36580254023013e-06
"62",6.39005924953315e-06
"63",6.44508108037175e-06
"64",6.46725772315629e-06
"65",6.54815056121816e-06
"66",6.55347522755565e-06
"67",6.56597605748594e-06
"68",6.67838524692469e-06
"69",6.72980168993423e-06
"70",6.77774660300374e-06
"71",6.82137541220275e-06
"72",6.83705415508321e-06
"73",6.86916268210248e-06
"74",6.87928577454735e-06
"75",6.97830739418086e-06
"76",6.98873734595303e-06
"77",7.040549423457e-06
"78",7.09582761693773e-06
"79",7.13658830665753e-06
"80",7.1466452265691e-06
"81",7.16748667994204e-06
"82",7.42572555359343e-06
"83",7.44990889604922e-06
"84",7.4831534256991e-06
"85",7.52709661367962e-06
"86",7.59935128730276e-06
"87",7.76760495887229e-06
"88",7.80079572106812e-06
"89",7.8316914057727e-06
"90",7.919030110584e-06
"91",7.94913618223066e-06
"92",8.1105910527706e-06
"93",8.11281450118928e-06
"94",8.13545015215246e-06
"95",8.22467210006034e-06
"96",8.29612711835399e-06
"97",8.35267630959878e-06
"98",8.44517942409203e-06
"99",8.46277851332687e-06
"100",8.4948255563195e-06
"101",8.56033567137849e-06
"102",8.62326339973204e-06
"103",8.72117986689264e-06
"104",8.73293247533112e-06
"105",8.74344928397668e-06
"106",8.78634465180059e-06
"107",8.80923590632642e-06
"108",8.86952809338391e-06
"109",9.05066514159598e-06
"110",9.31958979561286e-06
"111",9.43686876398455e-06
"112",9.4519364911148e-06
