"","x"
"1",0
"2",1.37153707235507e-05
"3",2.08475540779884e-05
"4",2.31836088804552e-05
"5",2.42027654017368e-05
"6",2.43412575451585e-05
"7",2.52013680574395e-05
"8",2.65090155874116e-05
"9",2.67802519975473e-05
"10",2.77104889498732e-05
"11",2.79718864335007e-05
"12",2.92521430781658e-05
"13",2.95814501035076e-05
"14",2.99162298044007e-05
"15",3.06291874901118e-05
"16",3.31784792804345e-05
"17",3.52055518671678e-05
"18",3.52766033797526e-05
"19",3.604046876754e-05
"20",3.60732537185843e-05
"21",3.62647369398338e-05
"22",3.64533372314887e-05
"23",3.7338094808686e-05
"24",3.88554707589418e-05
"25",3.923798973374e-05
"26",4.01013761835859e-05
"27",4.04681202205499e-05
"28",4.08983496934372e-05
"29",4.10517133361114e-05
"30",4.21021649107912e-05
"31",4.37801075055231e-05
"32",4.41629324630122e-05
"33",4.6297186700661e-05
"34",4.64967243742507e-05
"35",4.72145124681009e-05
"36",4.89268613775254e-05
"37",5.04366771093614e-05
"38",5.06063089825422e-05
"39",5.09898817991321e-05
"40",5.12062730742053e-05
"41",5.30457614148235e-05
"42",5.36685199282034e-05
"43",5.5318642149235e-05
"44",5.55782701484851e-05
"45",5.73527915203297e-05
"46",5.88004935130233e-05
"47",5.93081067274935e-05
"48",6.10641167303962e-05
"49",6.27273441224806e-05
"50",6.33829065910089e-05
"51",6.60340182825571e-05
"52",6.61324538758943e-05
"53",6.6212506426367e-05
"54",6.87365281714083e-05
"55",6.99366379003204e-05
"56",7.12360783116135e-05
"57",7.34440407136004e-05
"58",7.38543724125323e-05
"59",7.39025994125979e-05
"60",7.43669269376359e-05
"61",7.46685093279544e-05
"62",7.52350167034676e-05
"63",7.63838221827398e-05
"64",7.82516234698344e-05
"65",7.84903762245508e-05
"66",7.88129779389783e-05
"67",7.88456189562483e-05
"68",8.10365976227191e-05
"69",8.27564091062518e-05
"70",8.32022499704392e-05
"71",8.33966161533137e-05
"72",8.41555666091974e-05
"73",8.56324093532431e-05
"74",8.60429495341154e-05
"75",8.91248730951895e-05
"76",8.91528592093414e-05
"77",8.94595840945508e-05
"78",9.09319681253299e-05
"79",9.17435045363977e-05
"80",9.37817383741589e-05
"81",9.45772455009463e-05
"82",9.58272312866064e-05
"83",9.81072211039677e-05
"84",9.89554979038424e-05
"85",0.000101604767531848
"86",0.000102021251000851
"87",0.00010373212001005
"88",0.000103888815939011
"89",0.000103963414139222
"90",0.000106383869357049
"91",0.00010683222002517
"92",0.000107575145711402
"93",0.000107700258756265
"94",0.000108257533239071
"95",0.000108260705565783
"96",0.000108392867249501
"97",0.000109181424055197
"98",0.000114625790780749
"99",0.000115532561157042
"100",0.000116646969240995
"101",0.000116707738518964
"102",0.000116806780506261
"103",0.000117705044945736
"104",0.000119202632224507
"105",0.000120840054169133
"106",0.00012086948367599
"107",0.000121408115324495
"108",0.000121842956664269
"109",0.000121911252369932
"110",0.000126177742148566
"111",0.000126762021061314
"112",0.000127649503077054
"113",0.000127763023167636
"114",0.000128243691207139
"115",0.000129078048603247
"116",0.000130181110243683
"117",0.000134543481066242
"118",0.000134984734802474
"119",0.000136655811029552
"120",0.000136979230299289
"121",0.000138362745398333
"122",0.000138934289192561
